Manggar;0;0;0;0
Damar;0;0;0;0
Kelapa Kampit;0;0;0;0
Gantung;1;0;1;2
Renggiang;0;0;0;0
Simpang Pesak;0;0;0;0
Dendang;0;0;0;0
Kabupaten;1;0;1;2
