Manggar;99.07;99.07
Mengkubang;79.65;79.65
Kelapa Kampit;82.79;82.79
Gantung;95.93;95.73
Renggiang;97.47;97.47
Simpang Pesak;83.86;83.86
Dendang;80.22;79.69
Kabupaten;91.21;91.12
